ggk,gender,'Unter 5 Jahre','5 bis 9 Jahre','10 bis 14 Jahre','15 bis 19 Jahre','20 bis 24 Jahre','25 bis 29 Jahre','30 bis 34 Jahre','35 bis 39 Jahre','40 bis 44 Jahre','45 bis 49 Jahre','50 bis 54 Jahre','55 bis 59 Jahre','60 bis 64 Jahre','65 bis 69 Jahre','70 bis 74 Jahre','75 bis 79 Jahre','80 bis 84 Jahre','85 bis 89 Jahre','90 bis 94 Jahre','95 bis 99 Jahre','95 bis 99 Jahre - Anmerkungen','100 Jahre und älter'
1,Männer,8896,9664,10639,12447,12236,11993,11991,12993,15820,17253,15792,12947,11235,8145,9181,6363,4527,1959,505,82,0,5
2,Männer,27978,30602,33462,40108,37828,36702,36372,41046,50351,54599,49686,40053,35456,25691,28738,18936,13517,5830,1431,208,0,16
3,Männer,47790,51377,55895,64098,61000,59592,59716,65393,82205,87905,77487,63373,56451,43873,45435,28035,20430,9105,2383,393,0,39
4,Männer,23906,25773,27924,32191,30797,30509,30163,33007,41965,45038,39190,31577,29185,24011,24428,14258,10639,4991,1375,244,0,26
5,Männer,15338,15799,17069,19574,19201,19802,19195,19856,25035,26773,23105,18683,17457,14298,13995,8355,6302,3030,908,149,0,18
6,Männer,10848,11141,11459,13051,13770,14485,13911,14382,17256,18203,16044,13210,12108,10692,10229,5906,4604,2328,693,104,0,11
7,Männer,6208,6340,6562,7498,7754,8698,8327,8302,10233,10982,9831,7912,7184,6251,5980,3117,2530,1439,408,84,,8
8,Männer,10330,9899,10086,11456,15076,17526,16541,14861,17080,17735,15415,12765,12392,10973,10043,5719,4497,2334,789,126,,15
9,Männer,6276,5682,5611,6490,11806,12213,10172,9110,10223,10270,8265,6555,5733,5823,5316,2763,2277,1300,352,58,,7
10,Männer,45067,41502,39792,44338,58183,65716,63879,61257,68287,69405,58075,45944,44397,39464,34611,17418,13743,7837,2153,388,,42
1,Frauen,8602,9316,10199,11731,10869,11162,11124,12451,14845,15924,14386,11990,10987,8197,10493,8226,6770,4257,1320,267,0,22
2,Frauen,26839,29259,31994,36957,34224,34953,35235,39761,47971,52007,46590,38534,35151,26992,32583,24681,20803,13554,4185,802,0,92
3,Frauen,45427,48990,53136,60120,55994,58261,59191,66136,80755,85820,76607,63317,57588,46555,51209,36681,31418,22279,7378,1394,0,182
4,Frauen,22533,24730,26736,30193,29274,30263,30573,34280,43227,45214,39987,33550,31794,26816,28024,19197,16944,12749,4475,993,0,106
5,Frauen,14315,14974,16298,18467,18561,19836,19411,20961,25694,27218,24121,20396,18947,16669,16851,11374,10256,8062,2848,637,0,59
6,Frauen,10454,10688,11070,12353,13202,14252,13777,14744,17521,18339,16575,14193,13679,12460,12341,8248,7380,5798,2108,426,,62
7,Frauen,5779,6027,6263,7085,7915,8873,8213,8829,10874,11356,10475,8975,8366,7630,7285,4680,4617,3727,1401,302,,33
8,Frauen,9921,9540,9407,11017,16466,18136,15914,15271,17205,18139,16448,14711,14432,13513,13060,8431,7812,6568,2550,516,,61
9,Frauen,5888,5286,5290,6787,12698,11470,9508,8918,9585,9551,8652,7493,7148,7310,6742,4124,3924,3374,1354,281,,41
10,Frauen,42311,39438,38065,42857,60821,68341,65094,63259,69110,68657,59431,51102,50975,47466,43770,25691,25143,21251,7746,1934,,267
